notation,hash
3/m30/m(h1),th1:8efdf3ebd7ec49f7031bf80673721111fc84118a37e5c5f794e47d1bf0f73a73
4/m45/m(h1),th1:831970c9dd146ced4ebdd58fc21c60b7a90ed4e0bee5a4a89a957d3d3fb34d68
6/m30/m(h1),th1:d275ca6b42eab716e63440f82358ca78f8767339a9b4c7a1bf044beee3fb98f0
3-6/m30/m(c1),th1:c368748656a28b89be71c2fb8cfebb14cf348d4d17b1e0b52763607a5ebfe056
3-6/m30/r(h5),th1:ee17c333384b66a18c958145096dacc6d4977fa7e98d55e20a787d2d04ea3e96
3-6/r60/r(h1),th1:cce9845cb2edd9f2667b49ac0543c5e67f20cb2021aef505bee96922cfadc63c
4-3/m90/r(h2),th1:31180ac922f781742ad6ed5adf25ff19e405e62c83ac7c250c715079bacaf235
4-3/r90/m(h2),th1:460cddb19b7490c68b8f5ce18d7338c9ca23f5eab941b5dba4aafb34305a3407
4-8/m45/r(h5),th1:5049cd0901be201d59c4257d2f4e2899c6518c875c2a312a17a36d566657e58d
6-3/m30/m(v2),th1:fb9742576e0909e77b776a3908b880f2e07b34ba3b8182fbc1af479b99cf2d8f
12-3/m30/m(h3),th1:bc734ec6115b7f28b36e067480f7574c37546e99f09bca56eb2441f167ec549f
3-3-6/m30/m(v5),th1:70121475b9c0d4938bc56ad5265cbd898793b6eb945baaa2e3f04c314ca3fdbd
3-3-6/m60/m(v6),th1:2594429beb1b0030e88a8c814b24e05de55255f57d338ba44a5a3027ac6fdb13
3-4-3/m30/m(c2),th1:b13dce5b3d6fff2a23f6e341266974b5d661f4e296dddbeb8699bd79d58d8483
3-6-6/m30/m(h4),th1:c992b32e3d3b014865365e1734c03dd0faa8d0ae029a8aecccd40759c4d98f88
3-6-6/m60/r(h7),th1:c257678279e19fe629c789bbc5cd4402a60b7bf23a646c470baf8a046c15e4b0
3-6-6/r60/r(h3),th1:2cd16e74f2c2b96338b188141c9855bf424ce5c9a9e8e14673cc0e81cf250f98
3-6,3/m90/r(h1),th1:42d709df788df881bac048dc5a91d28970b577de1984d64db4702445c096e7c9
3-6,3/r120/m(h7),th1:271785ea713fc5fe9db983654099d2ff080c97c31e1b582ef5e203f72671c9a4
4-3-12/m45/r(h12),th1:5c03ce7e1d49f77d23d93236fe19710290ab2ef682eadbac8bc5b31e910ace5e
4-4-3/m90/r(h3),th1:5cb93f274a228d5c49980f8743bce6aca9eb0fd683a3d57fe7dad4fcf2f4055f
6-3-3/r60/r(h10),th1:b21245af1e6c433b9d3b33de4eff07986d5ff589516e586a0944608247d734c1
6-4-3/m90/r(h4),th1:526a24c5c9ca98e00e63e5a385e2373e5283db8ddecf5382d80ec20beac3067c
6-4,12/m60/m(c1),th1:606b33690d5b7f40b03426b80751a68012aa507cbc49024d4157bd7bbd36eb8a
6-6,3/m90/r(h5),th1:e55f41dc21810642d989a4cea2234f8532d9576ba5aeee2559e340c4726486d3
6-0,3/m90/r(h4),th1:fc1d2020e1049fabfd5312c32854a4eed0c2a73aa50af529f4e782b32631a46d
3-3,3-6/m90/r(h1),th1:08636331d3a586a4002f5e94e334fe708223f324a5792e8eb01f324783fb5f2c
3-3,3-6/m90/r(h5),th1:19ce161c98cafa2946019b78b7e1b57425335730af3efe9e8c1ac65516d7be9d
3-4-3-3/m30/m(h4),th1:1b6a900b83121d3ced4bbc1c0441cdeae5b4909c305c2103d1ea9e191ed2a552
3-4-3,3/m30/m(h1),th1:4dca087c77ef6378b3d47c8e0caa4f5912f9f6eea2796cb8eb22e0317bc49836
3-4,3-12/r120/m(c1),th1:9676d98d940bc1c65de240636c799325c76855d94b279d1720be6d9b20de75b3
3-6-3,3/m30/r(h10),th1:a0af909640d79df49f87d5d7d0bc3815f9b3e4999fb9de0d52f272fffa76a571
3-6,3-3/m90/r(h1),th1:7196b4ced36e42e41aa7bc68e7e4fc694a21bd1b621f198a00525467a9323d05
3-6,3-6/m90/r(h1),th1:72f0ccab0c6275c0eed59daf4b902abd79c3890eaba61f56010a75b28152b2a0
4-3-3-3/m90/r(h2),th1:1bb7dad1d852e26026d97d9ccfe9cf61ae23d209093ff0b951d7124c4cab6e62
4-3-3,4/r90/m(h10),th1:597810f52c11ad7a022b46d877f364d7b4f51e25d4766314704f2505b3cc0b17
4-3-3,4/r90/r(h3),th1:2ebe9b95b7f69a4ac90aec96a2036df42f9d4d0a34c0f050475110237f87e605
4-3-4-6/m90/r(c4),th1:76a5a79ceb6644a7933c74a0a893b6b3a06a3fccf264895e51f75530aa013db5
4-3-12-3/r90/m(h4),th1:dc0764e34c1aea7948962043e3646bd55994cf8ddef10bcdd5db7f834ca6026d
6-3-4-3/m90/r(h7),th1:be49e53ff495b6956e5e9e72578a8f13a0b96fef59a7388a963b428c763b8a3d
6-3-6-3/m30/m(h1),th1:c80330099e597c73db9b8ebb339e7452b2d85ec60a18547c0f36e11ccbf88c54
6-4-3,3/m30/m(h5),th1:cc93827e8d370d167753f132152f200055bdfe29e4cd7e88f2f9a157867be983
6-4-4-3/m90/r(v3),th1:eb8714491828126b9d0494b64c3d93c8c4fd9a91263730070997c4f5fea0c43b
6-6-3,3/m30/r(h6),th1:aa8ccf7d6cbebe7141e059c31bf4b509a6e50e15d59be6113f6cee6726df4007
12-4-3,3/m90/r(h6),th1:adac088378224db3e5b22b81c4781694f52318656ac8dc0bbbca628fe3bf4d41
12-4-3,6/m30/m(c4),th1:90f1965ed319320132cd264434a28b3fc39fce9d1792f01067cfd3869a7671a2
3-3-3-4-3/m30/r(h6),th1:5ac3cb11cbb48706e33064aa6990ee4a51c533beabd9ee5e8cd4e97a2936daa5
3-3-3,4-3/m90/r(h10),th1:cc12d4f74959555aed0a23b47d7ced4fa8516175ae66af1c62f8c9c62d6b2a73
3-3-3,6-6/m60/m(h1),th1:eba6afcbf9c37ea604d78108735b31361cd6a636678a17512fe9c5cee9a4a95d
3-3-6-3,3/m30/m(c1),th1:9c31f4b0cad78af03cc2a9694840b7fd7857471496a3fb3bc72900999213cf76
