Cundy & Rollett,New Nomenclature,No. Chars,No. Transforms,,(+/-) (Char),(+/-) (Trans),Group
3³.4²; 3².6²; 3.4.4.6; (6³)²,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3³.4²; 3².6²; 3.4.4.6; (6³)²,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3².6²; 3.4.4.6; 3.6.3.6; (4⁴)²,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3².6²; 3.4.4.6; 3.6.3.6; (4⁴)²,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3².6²; 3.4.4.6; (3.6.3.6)²; 4⁴,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3².6²; 3.4.4.6; (3.6.3.6)²; 4⁴,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3³.4²; 3².6²; 3.4.4.6; (4⁴)²,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁴.6; 3³.4²; 3.4.4.6; (4⁴)²,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3².6²; 3.4.4.6; 3.6.3.6; (4⁴)²,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3².6²; 3.4.4.6; 3.6.3.6; (4⁴)²,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3².6²; 3.4.4.6; (3.6.3.6)²; 4⁴,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3².6²; 3.4.4.6; (3.6.3.6)²; 4⁴,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3³.4²; 3².6²; 3.4.4.6; (4⁴)²,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁴.6; 3³.4²; 3.4.4.6; (4⁴)²,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁴.6; (3³.4²)²; 3.6.3.6; 4⁴,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁶; 3³.4²; (3.4.4.6)²; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁴.6; (3³.4²)²; 3.4.4.6; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁴.6; (3³.4²)²; 3.4.4.6; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
(3⁶)²; 3⁴.6; 3.4.4.6; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁶; 3³.4²; (3.4.4.6)²; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁴.6; (3³.4²)²; 3.4.4.6; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁴.6; (3³.4²)²; 3.4.4.6; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
(3⁶)²; 3⁴.6; 3.4.4.6; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
(3⁶)²; 3³.4²; 3.4.4.6; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁶; 3³.4²; 3.4.4.6; (3.6.3.6)²,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁴.6; 3³.4²; (3.4.4.6)²; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁶; 3⁴.6; (3³.4²)²; 3.4.4.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁴.6; (3³.4²)²; 3².6²; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁴.6; (3³.4²)²; 3².6²; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁶; (3⁴.6)²; 3³.4²; 3.4.4.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁶; (3⁴.6)²; 3³.4²; 3.4.4.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁶; (3⁴.6)²; 3³.4²; 3.4.4.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3⁶; 3⁴.6; (3³.4²)²; 3².6²,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
(3⁶)²; 3⁴.6; 3³.4²; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
(3⁶)²; 3⁴.6; 3³.4²; 3.6.3.6,,0,-,#N/A,,,5-Uniform (4 Vertex Types)
3.3.4.3.4; 3².6²; 3.4.6.4; 3.4.4.6; 6³,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁶; 3⁴.6; 3².6²; 3.6.3.6; 6³,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁶; 3⁴.6; 3³.4²; 3.4.4.6; 4.6.1.2,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁴.6; 3³.4²; 3.3.4.3.4; 3.4.4.6; 4⁴,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁶; 3.3.4.3.4; 3.4.6.4; 3.4.4.6; 3.6.3.6,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁶; 3⁴.6; 3.4.6.4; 3.4.4.6; 3.6.3.6,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3.3.4.3.4; 3.3.4.1.2; 3.4.6.4; 3.1.2.1.2; 4.6.1.2,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁶; 3⁴.6; 3.4.4.6; 3.6.3.6; 4⁴,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁶; 3⁴.6; 3.4.4.6; 3.6.3.6; 4⁴,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁶; 3⁴.6; 3.4.4.6; 3.6.3.6; 4⁴,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁶; 3⁴.6; 3.4.4.6; 3.6.3.6; 4⁴,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁶; 3³.4²; 3.4.4.6; 3.6.3.6; 4⁴,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁶; 3⁴.6; 3³.4²; 3.4.4.6; 4⁴,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁶; 3³.4²; 3².6²; 3.4.4.6; 3.6.3.6,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
3⁶; 3⁴.6; 3³.4²; 3².6²; 3.4.4.6,,0,-,#N/A,,,5-Uniform (5 Vertex Types)
